Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $343/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xbf494b0cba41c74b2c57cf1b0c0cca518971d9403d6e45a53371b52b73f0127e,14283742,1641939296,1/11/2022 22:14,0x782bbcdf6c24e62bead05d830f8ccdefb85925fa,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xf3c544f8f4b2a72a8bb0374ada77e6d48ed5e881b76ae2566eb98570a60f7071,14283746,1641939308,1/11/2022 22:15,0xe98dc2f5ad89fbe4b491c5e9cc78e2dbed516b78,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xf962b0cab589975b533c0c6704e28642db1a19eb9659fba3d6086ee0ebcbd39e,14283769,1641939377,1/11/2022 22:16,0x7567dee7d5199f03e1490f43e8d8c68bce58fff3,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0xada2726078c0dedb4d3163f51453a02f9ec15111461b4ce6bf5efb20cadf0206,14283771,1641939383,1/11/2022 22:16,0x111d68f722f689ecc5a1fd92c3b13d666751bf8b,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0xd49db0be281c3533290d8355b4a6e18bbd20e890525c7165268818a4aac6e4e4,14283777,1641939401,1/11/2022 22:16,0xb93b01c000e92c65fe7f31668c828830f11bac57,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x476825c43b0763e4b4d43fc80212e7d1f3094ebd9acb771d711a768590a99499,14283783,1641939419,1/11/2022 22:16,0x4e8910eee1d630029720116eb354a1e0869981a9,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xf2af8382517d912d3ba9cfb38a0b0024a198de48026a66c6e1447761f395a45b,14283784,1641939422,1/11/2022 22:17,0x484bfcbacc65a6019943b2ba4bcd69a1a2b72e59,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x3613021f522d6121354469a03f71a7c5d708d9c34e3ac2bee418c8c579a822a5,14283785,1641939425,1/11/2022 22:17,0x49ae3f1423d5ac1d3846921ecc93f4f78161cd99,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x077f6b19351e1a22967e0ad8d7528500630042fda4e6ae425bf556ae7d4c6401,14283789,1641939437,1/11/2022 22:17,0x4e8910eee1d630029720116eb354a1e0869981a9,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x00b854377e5bbc6351dbb5e87fa001b6cdaaa47cc3500c7e67bd13cd5b14d636,14283790,1641939440,1/11/2022 22:17,0x782bbcdf6c24e62bead05d830f8ccdefb85925fa,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x78be0846738c65588b1d3bbedde50a3c394bca808265267b296b200231248223,14283799,1641939467,1/11/2022 22:17,0xe98dc2f5ad89fbe4b491c5e9cc78e2dbed516b78,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0xa482d1e021fb1ef90bad4859f40266b574039c492befbdcccc49955e75a34896,14283816,1641939518,1/11/2022 22:18,0x7567dee7d5199f03e1490f43e8d8c68bce58fff3,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0xeecea45d230f70389d171e2412e282e9fcde31f9b53a617cfab42a5193a40078,14283824,1641939542,1/11/2022 22:19,0xbc097bcd67adf0f2068f7120eb202e18602503dc,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0xa25938d150ed74922204fa85117b8b25afff95bf7ad12e4d7420458c002b7a6d,14283825,1641939545,1/11/2022 22:19,0xefcc5406d1354d668a25a418629cd83c2d185aea,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xbb7a0b463b63835fccfcd24380ecd911ec71db6578d971b28e308357d583ab07,14283856,1641939638,1/11/2022 22:20,0x0dc5d430c3823b390c6c840df8f6d7c723f1d126,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x4b2319bbb08104c154bced791b949cc25294e85dfc64fdc841156c71a42fc0d9,14283873,1641939689,1/11/2022 22:21,0xab189f7661c82d546aa06a0c4a04882ac700f0dd,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x61448ed43a5dfd3d4937d770c6350447435203c31cdacc0bed7b96b7ecda10be,14283884,1641939722,1/11/2022 22:22,0xa1dce03c51b0ac5860cc1176dea560ef75301ab5,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x9695153c6e6367a9b1dcd8544208b84a8c22fc9ee7bc052f7ed2e8b0d2aad5e7,14283887,1641939731,1/11/2022 22:22,0x9f237e87e6ffaf390fbc7db4ed7fa13af58ef4b2,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x5b503fac3acb41ef23892aa63e453bf58fd93bda6620433582dff70478c7a8ff,14283893,1641939749,1/11/2022 22:22,0x9e20f1e07b7ec84df782dfdf54dd2da144047725,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00089206,0.30597658,463.38,,,Deposit
0x39ab85227c2d17cad0afedb1369b67825cf9b648852e00112f48ff68cf92ca3b,14283910,1641939800,1/11/2022 22:23,0x4e8910eee1d630029720116eb354a1e0869981a9,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xa7331abd489b672b024cf628022fe6c9755f51507f09bfe94f1828e9bc400fed,14283911,1641939803,1/11/2022 22:23,0xd3137741763cc0eead8cf7b3bcf9e895b61bfb51,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x8a099d05c245a5176e3990afac76161116e715535f63c42128ae237a042f8df0,14283917,1641939821,1/11/2022 22:23,0x782bbcdf6c24e62bead05d830f8ccdefb85925fa,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x8dacd7b12bc18e72c42fe88d1ea2adef014d2772549bb2e4cee26f4bc02f606a,14283931,1641939863,1/11/2022 22:24,0x900f1e4412ed585ad832b9168847c3281b65a98f,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
