"HolderAddress","Balance","PendingBalanceUpdate"
"0x5d17f21cadc6cf4be1fadf4726586126aa9393ad","1E-18","No"
"0x5d38f4f6ab46e047c364ba0c2c7f6e98fb9addf8","1E-18","No"
"0x5d8069b10b5cf0ebc169f66a586465b2050a705e","2E-18","No"
"0x5ddb1f871cdf065d6aefd467e895c1710be263e5","7.25","No"
"0x5ddcd61c1b79274bea2cf5107c5f54a62912f133","2E-18","No"
"0x5e6a96597f9fe4d4b19bdc0dd05ec76e91bb341f","1E-18","No"
"0x5f317587dc53d5999ebecaa3ba70bd5b555b7dd8","2E-18","No"
"0x5f378cbc17ff41b1b75dedd6aaac3610cf2fc5fe","2E-18","No"
"0x5f44b0df7722a2b420357f714665890f12a72aff","1E-18","No"
"0x5f69205642340ffa04ed78c5db47978ce7c76183","2E-18","No"
"0x5f69e8fe1e03d75a5b68fdf3cd08870187660e11","2E-18","No"
"0x5fc728126caf1655f8f8c6f0defb3afe636a853f","1E-18","No"
"0x5fe20d3b20c9a8dac9fbbc0d7db02077e6c6d683","1E-18","No"
"0x60068b00cdad56b30f0dd6bd270bdac1dc0c5b2b","1E-18","No"
"0x6049e4e3f949a63bcb957b626f9f98408112db55","20.6666666666667","No"
"0x60ac04c1019558ca8536fa314aeae9e6e1a2ae67","1E-18","No"
"0x60e1a153690469898c410002aa7b3fe77fe05fa5","1E-18","No"
"0x629eb25299266f0dd6504223d0f689a4f1c3307d","2E-18","No"
"0x62a10a28737bb20c7f46949848c71de2516fd015","2E-18","No"
"0x62bac93b4626fb2bfdd11e239e7e2cb672557e5b","1E-18","No"
"0x6352cbdaaf6344209e5c97a4335b30072df008c6","1E-18","No"
"0x63ba5d38b655374022adae8174ab025683bbf049","2.85714285714286","No"
"0x63dec9dff3f7890c3d930b5e741f66c9502ec9de","1E-18","No"
"0x6405b39346519aca6b4a9e74987f3f0e8ca73e9d","2E-18","No"
"0x64957bf8965fccfaba86fffe75dd3f49a447a283","1E-18","No"
"0x64cb7fb5199c83a96210911653ed60dfe5f85fa6","1E-18","No"
"0x64fa6008dca0594a70d8f73a845f6bb6d925ac9e","2E-18","No"
"0x65dee3f56a96333f9116e9d9a54c50ce38886cab","1E-18","No"
"0x65e3d1aec3603155971927eb73f9255d7058534d","2E-18","No"
"0x65ff268da55d358d57157881b91bbd0b49ebef33","1E-18","No"
"0x6634867f01eed312b51d3515a577ce21704f2016","1E-18","No"
